intent_key,category,language,ja_question,ja_answer,en_question,en_answer,question,answer,len_question,len_answer,over_150,over_500
basic_return_sheets_towels,basic,zh-TW,シーツ類とバスタオルはどこに返却しますか？,シーツ類と枕カバーはロビーの赤い回収ボックスに、バスタオルは青い回収ボックスに入れてからチェックアウトしてください。,Where should I return sheets and bath towels?,"Please put sheets and pillowcases into the red collection box in the lobby, and bath towels into the blue collection box before check-out.",床單和浴巾要還到哪裡？,請您於退房前將床單與枕頭套放入大廳紅色回收箱，浴巾放入藍色回收箱。,11,33,,
basic_return_sheets_towels,basic,fr,シーツ類とバスタオルはどこに返却しますか？,シーツ類と枕カバーはロビーの赤い回収ボックスに、バスタオルは青い回収ボックスに入れてからチェックアウトしてください。,Where should I return sheets and bath towels?,"Please put sheets and pillowcases into the red collection box in the lobby, and bath towels into the blue collection box before check-out.",Où dois-je déposer les draps et serviettes ?,"Veuillez déposer draps et taies dans la boîte rouge au lobby, et les serviettes dans la boîte bleue avant le départ.",44,116,,
basic_return_sheets_towels,basic,ko,シーツ類とバスタオルはどこに返却しますか？,シーツ類と枕カバーはロビーの赤い回収ボックスに、バスタオルは青い回収ボックスに入れてからチェックアウトしてください。,Where should I return sheets and bath towels?,"Please put sheets and pillowcases into the red collection box in the lobby, and bath towels into the blue collection box before check-out.",침구류와 수건은 어디에 반납하나요?,"체크아웃 전에 침구류와 베개커버는 로비 빨간 수거함에, 목욕 수건은 파란 수거함에 넣어 주세요.",19,53,,
facilities_shower_anytime,facilities,zh-TW,シャワーはいつでも使えますか？,24時間利用可能です。使用後は換気と簡単な清掃をお願いします。,Can I use the shower at any time?,"Yes, showers are available 24 hours a day. Please ventilate and clean lightly after use.",淋浴隨時可以使用嗎？,24小時均可使用。使用後請您換氣並簡單清潔。,10,22,,
facilities_shower_anytime,facilities,fr,シャワーはいつでも使えますか？,24時間利用可能です。使用後は換気と簡単な清掃をお願いします。,Can I use the shower at any time?,"Yes, showers are available 24 hours a day. Please ventilate and clean lightly after use.",Puis-je utiliser la douche à tout moment ?,"Oui, les douches sont disponibles 24h/24. Veuillez aérer et nettoyer après utilisation.",42,87,,
facilities_shower_anytime,facilities,ko,シャワーはいつでも使えますか？,24時間利用可能です。使用後は換気と簡単な清掃をお願いします。,Can I use the shower at any time?,"Yes, showers are available 24 hours a day. Please ventilate and clean lightly after use.",샤워는 언제든 사용할 수 있나요?,24시간 이용 가능합니다. 사용 후 환기와 간단한 정리를 부탁드립니다.,18,39,,
facilities_hair_dryer_location,facilities,zh-TW,ドライヤーはどこにありますか？,洗面エリアの棚に設置しています。使用後は元の場所へ戻してください。,Where can I find a hair dryer?,Hair dryers are located on the shelves in the wash area. Please return them after use.,吹風機在哪裡？,洗面區的架子上。使用後請您放回原處。,7,18,,
facilities_hair_dryer_location,facilities,fr,ドライヤーはどこにありますか？,洗面エリアの棚に設置しています。使用後は元の場所へ戻してください。,Where can I find a hair dryer?,Hair dryers are located on the shelves in the wash area. Please return them after use.,Où se trouve le sèche-cheveux ?,Sur les étagères dans l'espace lavabo. Veuillez le remettre après usage.,31,72,,
facilities_hair_dryer_location,facilities,ko,ドライヤーはどこにありますか？,洗面エリアの棚に設置しています。使用後は元の場所へ戻してください。,Where can I find a hair dryer?,Hair dryers are located on the shelves in the wash area. Please return them after use.,드라이어는 어디에 있나요?,세면대 구역 선반에 있습니다. 사용 후 제자리에 놓아 주세요.,14,34,,
facilities_shared_kitchen,facilities,zh-TW,共用キッチンは自由に使えますか？,使用可能です。利用後は必ず清掃し、調理器具を元の場所に戻してください。,Can I use the shared kitchen?,Yes. Please clean after use and return all utensils to their original places.,共用廚房可以使用嗎？,可以。使用後請您清潔並將廚具歸位。,10,17,,
facilities_shared_kitchen,facilities,fr,共用キッチンは自由に使えますか？,使用可能です。利用後は必ず清掃し、調理器具を元の場所に戻してください。,Can I use the shared kitchen?,Yes. Please clean after use and return all utensils to their original places.,Puis-je utiliser la cuisine commune ?,Oui. Veuillez nettoyer après usage et remettre les ustensiles à leur place.,37,75,,
facilities_shared_kitchen,facilities,ko,共用キッチンは自由に使えますか？,使用可能です。利用後は必ず清掃し、調理器具を元の場所に戻してください。,Can I use the shared kitchen?,Yes. Please clean after use and return all utensils to their original places.,공용 주방을 사용해도 되나요?,네. 사용 후 청소하시고 조리 도구는 제자리에 놓아 주세요.,16,33,,
facilities_refrigerator_storage,facilities,zh-TW,冷蔵庫に物を入れてもいいですか？,共用冷蔵庫を利用できます。名前と日付を記入してください。,Can I store items in the refrigerator?,"Yes, please label your items with your name and date.",冰箱可以放東西嗎？,可以，請標註姓名與日期。,9,12,,
facilities_refrigerator_storage,facilities,fr,冷蔵庫に物を入れてもいいですか？,共用冷蔵庫を利用できます。名前と日付を記入してください。,Can I store items in the refrigerator?,"Yes, please label your items with your name and date.",Puis-je mettre des aliments au réfrigérateur ?,"Oui, veuillez étiqueter vos affaires avec votre nom et la date.",46,63,,
facilities_refrigerator_storage,facilities,ko,冷蔵庫に物を入れてもいいですか？,共用冷蔵庫を利用できます。名前と日付を記入してください。,Can I store items in the refrigerator?,"Yes, please label your items with your name and date.",냉장고에 음식을 넣어도 되나요?,네. 이름과 날짜를 적어 주세요.,17,18,,
facilities_washer_dryer,facilities,zh-TW,洗濯機と乾燥機の使い方を教えてください。,指定エリアにあります。料金と操作方法は掲示をご確認ください。,How do I use the washer and dryer?,They are located in the designated area. Please check the posted instructions.,洗衣機和烘乾機怎麼用？,在指定區域。請參閱現場張貼的使用說明。,11,19,,
facilities_washer_dryer,facilities,fr,洗濯機と乾燥機の使い方を教えてください。,指定エリアにあります。料金と操作方法は掲示をご確認ください。,How do I use the washer and dryer?,They are located in the designated area. Please check the posted instructions.,Comment utiliser la machine à laver et le sèche-linge ?,Ils se trouvent dans l'espace indiqué. Veuillez consulter les instructions affichées.,55,85,,
facilities_washer_dryer,facilities,ko,洗濯機と乾燥機の使い方を教えてください。,指定エリアにあります。料金と操作方法は掲示をご確認ください。,How do I use the washer and dryer?,They are located in the designated area. Please check the posted instructions.,세탁기와 건조기 사용 방법을 알려주세요.,지정된 구역에 있습니다. 게시된 이용 안내를 확인해 주세요.,22,33,,
facilities_ac_temperature,facilities,zh-TW,エアコンの温度を変更できますか？,各部屋のリモコンで調整できます。外出時は電源を切ってください。,Can I change the air conditioner temperature?,"Yes, use the remote in your room and turn it off when leaving.",可以調整冷氣溫度嗎？,請您使用房內遙控器。外出時請關閉電源。,10,19,,
facilities_ac_temperature,facilities,fr,エアコンの温度を変更できますか？,各部屋のリモコンで調整できます。外出時は電源を切ってください。,Can I change the air conditioner temperature?,"Yes, use the remote in your room and turn it off when leaving.",Puis-je régler la climatisation ?,"Oui, utilisez la télécommande dans votre chambre et éteignez en partant.",33,72,,
facilities_ac_temperature,facilities,ko,エアコンの温度を変更できますか？,各部屋のリモコンで調整できます。外出時は電源を切ってください。,Can I change the air conditioner temperature?,"Yes, use the remote in your room and turn it off when leaving.",에어컨 온도를 바꿀 수 있나요?,객실 리모컨으로 조절하실 수 있습니다. 외출 시에는 전원을 꺼 주세요.,17,39,,
facilities_wifi_connection,facilities,zh-TW,WiFiに接続できません。,一度WiFiをオフにして再接続してください。,I cannot connect to WiFi.,Please turn WiFi off and reconnect.,無法連上WiFi。,請您先關閉WiFi後重新連線。,9,15,,
facilities_wifi_connection,facilities,fr,WiFiに接続できません。,一度WiFiをオフにして再接続してください。,I cannot connect to WiFi.,Please turn WiFi off and reconnect.,Je n'arrive pas à me connecter au WiFi.,Veuillez désactiver le WiFi puis vous reconnecter.,39,50,,
facilities_wifi_connection,facilities,ko,WiFiに接続できません。,一度WiFiをオフにして再接続してください。,I cannot connect to WiFi.,Please turn WiFi off and reconnect.,WiFi에 연결되지 않아요.,WiFi를 끄고 다시 연결해 보세요.,15,20,,
facilities_wifi_speed,facilities,zh-TW,WiFiが遅いと感じます。,混雑時間帯は速度が低下する場合があります。,The WiFi feels slow.,Speed may decrease during busy hours.,WiFi很慢。,尖峰時段可能較慢。,7,9,,
facilities_wifi_speed,facilities,fr,WiFiが遅いと感じます。,混雑時間帯は速度が低下する場合があります。,The WiFi feels slow.,Speed may decrease during busy hours.,Le WiFi est lent.,La vitesse peut baisser aux heures de pointe.,17,45,,
facilities_wifi_speed,facilities,ko,WiFiが遅いと感じます。,混雑時間帯は速度が低下する場合があります。,The WiFi feels slow.,Speed may decrease during busy hours.,WiFi가 느려요.,이용이 많은 시간대에는 속도가 떨어질 수 있습니다.,10,28,,
location_convenience_store,location,zh-TW,近くにコンビニはありますか？,徒歩数分の場所にあります。,Is there a convenience store nearby?,"Yes, within a few minutes on foot.",附近有便利商店嗎？,步行數分鐘內有。,9,8,,
location_convenience_store,location,fr,近くにコンビニはありますか？,徒歩数分の場所にあります。,Is there a convenience store nearby?,"Yes, within a few minutes on foot.",Y a-t-il un convenience store à proximité ?,"Oui, à quelques minutes à pied.",43,31,,
location_convenience_store,location,ko,近くにコンビニはありますか？,徒歩数分の場所にあります。,Is there a convenience store nearby?,"Yes, within a few minutes on foot.",근처에 편의점이 있나요?,도보로 몇 분 거리에 있습니다.,13,17,,
location_restaurants_late,location,zh-TW,夜遅くまで営業している飲食店はありますか？,近隣に数店舗あります。,Are there restaurants open late at night?,"Yes, there are several nearby.",有營業到深夜的餐廳嗎？,附近有幾家。,11,6,,
location_restaurants_late,location,fr,夜遅くまで営業している飲食店はありますか？,近隣に数店舗あります。,Are there restaurants open late at night?,"Yes, there are several nearby.",Y a-t-il des restaurants ouverts tard le soir ?,"Oui, plusieurs à proximité.",47,27,,
location_restaurants_late,location,ko,夜遅くまで営業している飲食店はありますか？,近隣に数店舗あります。,Are there restaurants open late at night?,"Yes, there are several nearby.",밤늦게까지 하는 식당이 있나요?,근처에 몇 군데 있습니다.,17,14,,
location_atm,location,zh-TW,ATMは近くにありますか？,コンビニ内ATMが利用できます。,Is there an ATM nearby?,"Yes, ATMs are available at convenience stores.",附近有ATM嗎？,便利商店內有提款機。,8,10,,
location_atm,location,fr,ATMは近くにありますか？,コンビニ内ATMが利用できます。,Is there an ATM nearby?,"Yes, ATMs are available at convenience stores.",Y a-t-il un distributeur à proximité ?,"Oui, dans les convenience stores.",38,33,,
location_atm,location,ko,ATMは近くにありますか？,コンビニ内ATMが利用できます。,Is there an ATM nearby?,"Yes, ATMs are available at convenience stores.",근처에 ATM이 있나요?,편의점 내 ATM을 이용하실 수 있습니다.,13,23,,
location_pharmacy,location,zh-TW,薬局やドラッグストアはありますか？,徒歩圏内にあります。,Is there a pharmacy nearby?,"Yes, within walking distance.",附近有藥局或藥妝店嗎？,步行可達。,11,5,,
location_pharmacy,location,fr,薬局やドラッグストアはありますか？,徒歩圏内にあります。,Is there a pharmacy nearby?,"Yes, within walking distance.",Y a-t-il une pharmacie à proximité ?,"Oui, à distance de marche.",36,26,,
location_pharmacy,location,ko,薬局やドラッグストアはありますか？,徒歩圏内にあります。,Is there a pharmacy nearby?,"Yes, within walking distance.",근처에 약국이 있나요?,도보 권 내에 있습니다.,12,13,,
location_taxi,location,zh-TW,タクシーを利用したいです。,配車アプリをご利用ください。,I want to use a taxi.,Please use a taxi app.,想叫計程車。,請您使用叫車App。,6,10,,
location_taxi,location,fr,タクシーを利用したいです。,配車アプリをご利用ください。,I want to use a taxi.,Please use a taxi app.,Je voudrais prendre un taxi.,Veuillez utiliser une application de réservation.,28,49,,
location_taxi,location,ko,タクシーを利用したいです。,配車アプリをご利用ください。,I want to use a taxi.,Please use a taxi app.,택시를 이용하고 싶어요.,택시 앱을 이용해 주세요.,13,14,,
location_nearest_station,location,zh-TW,最寄り駅までの行き方を教えてください。,館内マップをご確認ください。,How do I get to the nearest station?,Please check the in-house map.,最近車站怎麼走？,請您參考館內地圖。,8,9,,
location_nearest_station,location,fr,最寄り駅までの行き方を教えてください。,館内マップをご確認ください。,How do I get to the nearest station?,Please check the in-house map.,Comment aller à la gare la plus proche ?,Veuillez consulter le plan dans l'établissement.,40,48,,
location_nearest_station,location,ko,最寄り駅までの行き方を教えてください。,館内マップをご確認ください。,How do I get to the nearest station?,Please check the in-house map.,가장 가까운 역까지 어떻게 가나요?,숙소 내 안내도를 확인해 주세요.,19,18,,
trouble_room_key_not_opening,trouble,zh-TW,部屋の鍵が開きません。,差し込み直して再度お試しください。,I cannot open my room key.,Please reinsert and try again.,房門鑰匙打不開。,請您重新插入後再試一次。,8,12,,
trouble_room_key_not_opening,trouble,fr,部屋の鍵が開きません。,差し込み直して再度お試しください。,I cannot open my room key.,Please reinsert and try again.,Ma clé ne ouvre pas la porte.,Veuillez la réinsérer et réessayer.,29,35,,
trouble_room_key_not_opening,trouble,ko,部屋の鍵が開きません。,差し込み直して再度お試しください。,I cannot open my room key.,Please reinsert and try again.,방 열쇠가 안 열려요.,다시 꽂았다가 한 번 더 시도해 주세요.,12,22,,
trouble_left_key_inside,trouble,zh-TW,鍵を部屋に置いたまま外に出ました。,スタッフにご連絡ください。,I left my key inside the room.,Please contact staff.,鑰匙忘在房裡就出來了。,請您聯絡工作人員。,11,9,,
trouble_left_key_inside,trouble,fr,鍵を部屋に置いたまま外に出ました。,スタッフにご連絡ください。,I left my key inside the room.,Please contact staff.,J'ai laissé ma clé dans la chambre.,Veuillez contacter le personnel.,35,32,,
trouble_left_key_inside,trouble,ko,鍵を部屋に置いたまま外に出ました。,スタッフにご連絡ください。,I left my key inside the room.,Please contact staff.,열쇠를 방에 두고 나왔어요.,스태프에게 연락해 주세요.,15,14,,
trouble_no_water_hot_water,trouble,zh-TW,水やお湯が出ません。,数分待っても改善しない場合はご連絡ください。,There is no water or hot water.,Please contact us if it does not improve.,沒有水或熱水。,稍等數分鐘仍無改善請您聯絡我們。,7,16,,
trouble_no_water_hot_water,trouble,fr,水やお湯が出ません。,数分待っても改善しない場合はご連絡ください。,There is no water or hot water.,Please contact us if it does not improve.,Il n'y a pas d'eau ou d'eau chaude.,Veuillez nous contacter si cela ne s'améliore pas.,35,50,,
trouble_no_water_hot_water,trouble,ko,水やお湯が出ません。,数分待っても改善しない場合はご連絡ください。,There is no water or hot water.,Please contact us if it does not improve.,물이나 뜨거운 물이 안 나와요.,몇 분 기다려도 나오지 않으면 연락해 주세요.,17,25,,
trouble_lights_ac_not_working,trouble,zh-TW,照明やエアコンが動きません。,ブレーカーを確認してください。,Lights or air conditioner do not work.,Please check the breaker.,燈或冷氣不運作。,請您檢查斷路器。,8,8,,
trouble_lights_ac_not_working,trouble,fr,照明やエアコンが動きません。,ブレーカーを確認してください。,Lights or air conditioner do not work.,Please check the breaker.,Les lumières ou la climatisation ne fonctionnent pas.,Veuillez vérifier le disjoncteur.,53,33,,
trouble_lights_ac_not_working,trouble,ko,照明やエアコンが動きません。,ブレーカーを確認してください。,Lights or air conditioner do not work.,Please check the breaker.,조명이나 에어컨이 작동하지 않아요.,차단기를 확인해 주세요.,19,13,,
trouble_other_guest_behavior,trouble,zh-TW,他のゲストの行動が気になります。,直接注意せず、チャットでお知らせください。,Another guest is bothering me.,Please inform us via chat instead of confronting them.,其他房客的行為讓我不舒服。,請勿直接衝突，透過此聊天告知我們即可。,13,19,,
trouble_other_guest_behavior,trouble,fr,他のゲストの行動が気になります。,直接注意せず、チャットでお知らせください。,Another guest is bothering me.,Please inform us via chat instead of confronting them.,Un autre client me dérange.,Veuillez nous en informer par le chat plutôt que de le confronter.,27,66,,
trouble_other_guest_behavior,trouble,ko,他のゲストの行動が気になります。,直接注意せず、チャットでお知らせください。,Another guest is bothering me.,Please inform us via chat instead of confronting them.,다른 투숙객 행동이 신경 쓰여요.,직접 말씀하지 마시고 채팅으로 알려 주세요.,18,24,,
trouble_feeling_unwell_not_emergency,trouble,zh-TW,体調が悪いが緊急ではありません。,無理をせず休憩してください。,I feel unwell but it is not an emergency.,Please rest and take care.,身體不適但不是緊急狀況。,請多休息、保重。,12,8,,
trouble_feeling_unwell_not_emergency,trouble,fr,体調が悪いが緊急ではありません。,無理をせず休憩してください。,I feel unwell but it is not an emergency.,Please rest and take care.,Je ne me sens pas bien mais ce n'est pas urgent.,Veuillez vous reposer et prendre soin de vous.,48,46,,
trouble_feeling_unwell_not_emergency,trouble,ko,体調が悪いが緊急ではありません。,無理をせず休憩してください。,I feel unwell but it is not an emergency.,Please rest and take care.,몸이 안 좋은데 급한 건 아니에요.,무리하지 마시고 푹 쉬세요.,19,15,,
facilities_online_meetings,facilities,zh-TW,オンライン会議は可能ですか？,通常利用は可能ですが、高負荷通信は不安定になる場合があります。,Can I do online meetings?,"Yes, but high-bandwidth use may be unstable.",可以進行線上會議嗎？,一般使用可以，高負載時可能不穩定。,10,17,,
facilities_online_meetings,facilities,fr,オンライン会議は可能ですか？,通常利用は可能ですが、高負荷通信は不安定になる場合があります。,Can I do online meetings?,"Yes, but high-bandwidth use may be unstable.",Puis-je faire des réunions en ligne ?,"Oui, mais une forte utilisation peut être instable.",37,51,,
facilities_online_meetings,facilities,ko,オンライン会議は可能ですか？,通常利用は可能ですが、高負荷通信は不安定になる場合があります。,Can I do online meetings?,"Yes, but high-bandwidth use may be unstable.",온라인 회의 해도 되나요?,"일반적으로는 가능하나, 대용량 통신은 불안정할 수 있습니다.",14,33,,
facilities_power_adapters,facilities,zh-TW,変換プラグはありますか？,数量限定で用意しています。,Do you have power plug adapters?,"Yes, a limited number are available.",有轉接插頭嗎？,數量有限，有準備。,7,9,,
facilities_power_adapters,facilities,fr,変換プラグはありますか？,数量限定で用意しています。,Do you have power plug adapters?,"Yes, a limited number are available.",Avez-vous des adaptateurs de prise ?,"Oui, en nombre limité.",36,22,,
facilities_power_adapters,facilities,ko,変換プラグはありますか？,数量限定で用意しています。,Do you have power plug adapters?,"Yes, a limited number are available.",변환 플러그 있나요?,수량 한정으로 준비되어 있습니다.,11,18,,
